Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding
3,0.005,0.01,50,20,0.05,-0.42348,1.31342,0.07004, Train,sgns
3,0.005,0.01,50,20,0.05,-0.26983,1.5193,0.04267, Dev/Test,sgns
4,0.005,0.01,50,20,0.05,-0.46147,1.36534,0.07962, Train,sgns
4,0.005,0.01,50,20,0.05,-0.26351,1.5823,0.04612, Dev/Test,sgns
5,0.005,0.01,50,20,0.05,-0.48647,1.40119,0.08702, Train,sgns
5,0.005,0.01,50,20,0.05,-0.25999,1.64319,0.04204, Dev/Test,sgns
1,0.005,0.01,10,10,0.05,-0.27197,0.94051,0.04244, Train,sgns
1,0.005,0.01,10,10,0.05,-0.268,1.01165,0.04063, Dev/Test,sgns
2,0.005,0.01,10,10,0.05,-0.34777,0.96691,0.05568, Train,sgns
2,0.005,0.01,10,10,0.05,-0.2681,1.06384,0.03765, Dev/Test,sgns
3,0.005,0.01,10,10,0.05,-0.38451,1.00557,0.05955, Train,sgns
3,0.005,0.01,10,10,0.05,-0.26278,1.14221,0.03827, Dev/Test,sgns
4,0.005,0.01,10,10,0.05,-0.40272,1.057,0.06352, Train,sgns
4,0.005,0.01,10,10,0.05,-0.26344,1.1983,0.03859, Dev/Test,sgns
5,0.005,0.01,10,10,0.05,-0.41337,1.11379,0.06629, Train,sgns
5,0.005,0.01,10,10,0.05,-0.25623,1.25935,0.03671, Dev/Test,sgns
1,0.001,0.1,50,1,0.005,-0.33863,0.9049,0.05077, Train,sgns
1,0.001,0.1,50,1,0.005,-0.29852,0.9807,0.048, Dev/Test,sgns
2,0.001,0.1,50,1,0.005,-0.4284,0.86573,0.0718, Train,sgns
2,0.001,0.1,50,1,0.005,-0.29553,0.99453,0.04643, Dev/Test,sgns
3,0.001,0.1,50,1,0.005,-0.47046,0.84921,0.08184, Train,sgns
3,0.001,0.1,50,1,0.005,-0.28912,1.0026,0.04502, Dev/Test,sgns
4,0.001,0.1,50,1,0.005,-0.49456,0.84048,0.0912, Train,sgns
