Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding,Group
5,0.001,0.1,50,10,0.005,-0.28486,0.98514,0.04047, Dev/Test,sgns,G60
1,0.001,0.2,10,5,0.005,-0.26634,0.95344,0.04056, Train,sgns,G61
1,0.001,0.2,10,5,0.005,-0.28548,0.9964,0.04125, Dev/Test,sgns,G62
2,0.001,0.2,10,5,0.005,-0.33304,0.92691,0.05068, Train,sgns,G63
2,0.001,0.2,10,5,0.005,-0.2815,0.99268,0.04298, Dev/Test,sgns,G64
3,0.001,0.2,10,5,0.005,-0.3664,0.91868,0.05508, Train,sgns,G65
3,0.001,0.2,10,5,0.005,-0.26935,0.99473,0.04251, Dev/Test,sgns,G66
4,0.001,0.2,10,5,0.005,-0.38687,0.91501,0.06079, Train,sgns,G67
4,0.001,0.2,10,5,0.005,-0.2752,0.99801,0.04188, Dev/Test,sgns,G68
5,0.001,0.2,10,5,0.005,-0.40109,0.91226,0.06473, Train,sgns,G69
5,0.001,0.2,10,5,0.005,-0.265,1.00022,0.04031, Dev/Test,sgns,G70
1,0.001,0.2,10,10,0.005,-0.25615,0.96801,0.03811, Train,sgns,G71
1,0.001,0.2,10,10,0.005,-0.27584,1.01386,0.03545, Dev/Test,sgns,G72
2,0.001,0.2,10,10,0.005,-0.32425,0.94197,0.04889, Train,sgns,G73
2,0.001,0.2,10,10,0.005,-0.26655,1.00278,0.03906, Dev/Test,sgns,G74
3,0.001,0.2,10,10,0.005,-0.35776,0.93073,0.05627, Train,sgns,G75
3,0.001,0.2,10,10,0.005,-0.26208,1.00134,0.04, Dev/Test,sgns,G76
4,0.001,0.2,10,10,0.005,-0.37896,0.92447,0.05884, Train,sgns,G77
4,0.001,0.2,10,10,0.005,-0.25257,1.00267,0.03984, Dev/Test,sgns,G78
5,0.001,0.2,10,10,0.005,-0.39344,0.92156,0.06255, Train,sgns,G79
5,0.001,0.2,10,10,0.005,-0.25025,1.00092,0.0411, Dev/Test,sgns,G80
1,0.001,0.2,20,5,0.005,-0.28397,0.93594,0.04068, Train,sgns,G81
1,0.001,0.2,20,5,0.005,-0.29949,0.97505,0.03937, Dev/Test,sgns,G82
2,0.001,0.2,20,5,0.005,-0.36273,0.90075,0.0549, Train,sgns,G83
2,0.001,0.2,20,5,0.005,-0.29624,0.97083,0.04612, Dev/Test,sgns,G84
3,0.001,0.2,20,5,0.005,-0.40444,0.88742,0.06324, Train,sgns,G85
3,0.001,0.2,20,5,0.005,-0.28887,0.97452,0.04925, Dev/Test,sgns,G86
4,0.001,0.2,20,5,0.005,-0.42964,0.88183,0.06911, Train,sgns,G87
4,0.001,0.2,20,5,0.005,-0.28813,0.97921,0.04957, Dev/Test,sgns,G88
5,0.001,0.2,20,5,0.005,-0.44743,0.8764,0.07352, Train,sgns,G89
5,0.001,0.2,20,5,0.005,-0.28218,0.97864,0.04502, Dev/Test,sgns,G90
1,0.001,0.2,20,10,0.005,-0.27108,0.95489,0.04137, Train,sgns,G91
1,0.001,0.2,20,10,0.005,-0.28241,0.99673,0.04016, Dev/Test,sgns,G92
2,0.001,0.2,20,10,0.005,-0.34682,0.91819,0.05274, Train,sgns,G93
2,0.001,0.2,20,10,0.005,-0.28281,0.98768,0.04455, Dev/Test,sgns,G94
3,0.001,0.2,20,10,0.005,-0.3868,0.90314,0.0584, Train,sgns,G95
3,0.001,0.2,20,10,0.005,-0.27405,0.98694,0.04518, Dev/Test,sgns,G96
4,0.001,0.2,20,10,0.005,-0.41457,0.89609,0.06586, Train,sgns,G97
4,0.001,0.2,20,10,0.005,-0.28075,0.98561,0.04596, Dev/Test,sgns,G98
5,0.001,0.2,20,10,0.005,-0.43405,0.89029,0.07021, Train,sgns,G99
5,0.001,0.2,20,10,0.005,-0.27374,0.98414,0.04988, Dev/Test,sgns,G100
1,0.001,0.2,50,5,0.005,-0.30093,0.9467,0.04593, Train,sgns,G101
1,0.001,0.2,50,5,0.005,-0.30293,0.98531,0.04643, Dev/Test,sgns,G102
2,0.001,0.2,50,5,0.005,-0.39852,0.9036,0.06443, Train,sgns,G103
2,0.001,0.2,50,5,0.005,-0.30495,0.99069,0.05067, Dev/Test,sgns,G104
3,0.001,0.2,50,5,0.005,-0.45081,0.87504,0.07666, Train,sgns,G105
3,0.001,0.2,50,5,0.005,-0.28816,0.998,0.04988, Dev/Test,sgns,G106
4,0.001,0.2,50,5,0.005,-0.48373,0.85956,0.08523, Train,sgns,G107
4,0.001,0.2,50,5,0.005,-0.27965,1.01092,0.05004, Dev/Test,sgns,G108
5,0.001,0.2,50,5,0.005,-0.50648,0.8471,0.0933, Train,sgns,G109
5,0.001,0.2,50,5,0.005,-0.27889,1.01237,0.05145, Dev/Test,sgns,G110
1,0.001,0.2,50,10,0.005,-0.28565,0.94209,0.04192, Train,sgns,G111
1,0.001,0.2,50,10,0.005,-0.30315,0.97494,0.04627, Dev/Test,sgns,G112
2,0.001,0.2,50,10,0.005,-0.37582,0.90789,0.0598, Train,sgns,G113
2,0.001,0.2,50,10,0.005,-0.30862,0.96837,0.04565, Dev/Test,sgns,G114
3,0.001,0.2,50,10,0.005,-0.43212,0.87148,0.0703, Train,sgns,G115
3,0.001,0.2,50,10,0.005,-0.30399,0.96752,0.05286, Dev/Test,sgns,G116
4,0.001,0.2,50,10,0.005,-0.46925,0.85242,0.08104, Train,sgns,G117
4,0.001,0.2,50,10,0.005,-0.29993,0.97491,0.05051, Dev/Test,sgns,G118
5,0.001,0.2,50,10,0.005,-0.49496,0.83937,0.08943, Train,sgns,G119
5,0.001,0.2,50,10,0.005,-0.29654,0.97549,0.04957, Dev/Test,sgns,G120
1,0.001,0.5,10,5,0.005,-0.24291,0.95818,0.03839, Train,sgns,G121
1,0.001,0.5,10,5,0.005,-0.26729,1.00083,0.03451, Dev/Test,sgns,G122
2,0.001,0.5,10,5,0.005,-0.28963,0.93255,0.046, Train,sgns,G123
2,0.001,0.5,10,5,0.005,-0.26625,0.99582,0.03765, Dev/Test,sgns,G124
3,0.001,0.5,10,5,0.005,-0.31363,0.93105,0.05033, Train,sgns,G125
3,0.001,0.5,10,5,0.005,-0.25226,1.01265,0.03498, Dev/Test,sgns,G126
4,0.001,0.5,10,5,0.005,-0.32872,0.93666,0.0532, Train,sgns,G127
4,0.001,0.5,10,5,0.005,-0.25179,1.01666,0.03718, Dev/Test,sgns,G128
5,0.001,0.5,10,5,0.005,-0.3379,0.94279,0.05329, Train,sgns,G129
5,0.001,0.5,10,5,0.005,-0.24573,1.03319,0.03749, Dev/Test,sgns,G130
1,0.001,0.5,10,10,0.005,-0.23382,0.96912,0.03683, Train,sgns,G131
1,0.001,0.5,10,10,0.005,-0.25699,1.01225,0.03576, Dev/Test,sgns,G132
2,0.001,0.5,10,10,0.005,-0.28368,0.94869,0.04671, Train,sgns,G133
2,0.001,0.5,10,10,0.005,-0.26059,1.00503,0.03875, Dev/Test,sgns,G134
3,0.001,0.5,10,10,0.005,-0.30491,0.94988,0.04889, Train,sgns,G135
3,0.001,0.5,10,10,0.005,-0.25155,0.99917,0.04063, Dev/Test,sgns,G136
4,0.001,0.5,10,10,0.005,-0.319,0.95521,0.05226, Train,sgns,G137
4,0.001,0.5,10,10,0.005,-0.25197,1.00226,0.04031, Dev/Test,sgns,G138
5,0.001,0.5,10,10,0.005,-0.32923,0.9643,0.05173, Train,sgns,G139
5,0.001,0.5,10,10,0.005,-0.24582,1.00242,0.04047, Dev/Test,sgns,G140
1,0.001,0.5,20,5,0.005,-0.25878,0.94713,0.03953, Train,sgns,G141
1,0.001,0.5,20,5,0.005,-0.27433,0.98154,0.03937, Dev/Test,sgns,G142
2,0.001,0.5,20,5,0.005,-0.31605,0.9256,0.04964, Train,sgns,G143
2,0.001,0.5,20,5,0.005,-0.27331,0.97746,0.04596, Dev/Test,sgns,G144
3,0.001,0.5,20,5,0.005,-0.34634,0.92925,0.05382, Train,sgns,G145
3,0.001,0.5,20,5,0.005,-0.26221,0.98565,0.04455, Dev/Test,sgns,G146
4,0.001,0.5,20,5,0.005,-0.36509,0.93814,0.0573, Train,sgns,G147
4,0.001,0.5,20,5,0.005,-0.26145,0.98752,0.0411, Dev/Test,sgns,G148
5,0.001,0.5,20,5,0.005,-0.37738,0.94648,0.05834, Train,sgns,G149
5,0.001,0.5,20,5,0.005,-0.26154,0.99527,0.04314, Dev/Test,sgns,G150
1,0.001,0.5,20,10,0.005,-0.24745,0.95872,0.03972, Train,sgns,G151
1,0.001,0.5,20,10,0.005,-0.27929,1.00002,0.03733, Dev/Test,sgns,G152
2,0.001,0.5,20,10,0.005,-0.31101,0.92961,0.04873, Train,sgns,G153
2,0.001,0.5,20,10,0.005,-0.28319,0.9881,0.03937, Dev/Test,sgns,G154
3,0.001,0.5,20,10,0.005,-0.34113,0.92297,0.05201, Train,sgns,G155
